janeiro 2020;fevereiro 2020;março 2020;abril 2020;maio 2020;junho 2020;julho 2020;agosto 2020;setembro 2020;outubro 2020;novembro 2020;dezembro 2020;janeiro 2021;fevereiro 2021;março 2021;abril 2021;maio 2021;junho 2021;julho 2021;agosto 2021;setembro 2021;outubro 2021;novembro 2021;dezembro 2021;janeiro 2022;fevereiro 2022;março 2022;abril 2022;maio 2022;junho 2022;julho 2022;agosto 2022;setembro 2022;outubro 2022;novembro 2022;dezembro 2022;janeiro 2023;fevereiro 2023;março 2023;abril 2023;maio 2023;junho 2023;julho 2023;agosto 2023;setembro 2023;outubro 2023;novembro 2023;dezembro 2023;janeiro 2024;fevereiro 2024;março 2024;abril 2024;maio 2024;junho 2024;julho 2024;agosto 2024;setembro 2024;outubro 2024;novembro 2024;dezembro 2024
1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja;1.15 Soja
19800869;20450310;20806623;20745400;20754000;20749200;20813000;20755300;20773900;20842400;20841100;20871900;20500700;20449000;20196400;19890100;19887300;19873500;19894400;19854400;19853900;19853900;19854000;19854000;13165100;11764900;11702387;11967800;12170100;12189300;12218100;12193600;12185395;12185395;12185395;12185395;20859100;21036197;22322000;22517400;22479100;22479100;22544500;22544900;22505600;22485000;22511700;22455000;19369400;18357900;18449100;18474800;18512700;18570200;18657300;18687700;18639100;18639000;18643100;18643000
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
